field_1,Longitude,Latitude,RMI_p,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,elevation,aspect
99,-78.38422,38.60276,13.08201027,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,880.2337646,289.7460327
100,-78.32985,38.62695,21.67780685,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1114.7677,99.46643066
101,-78.32972,38.62862,26.13275909,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1113.283936,344.9401855
102,-78.38737,38.5912,10.36905861,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1125.372314,219.358017
103,-78.38765,38.59158,15.26882267,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1116.666504,324.6493225
104,-78.38966,38.59238,23.58103752,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1076.556519,16.1373558
105,-78.39236,38.59314,11.87759018,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1051.020508,4.346754551
106,-78.32755,38.63216,21.54257965,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1005.847534,307.4540405
107,-78.33508,38.63406,38.81952667,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,804.1190186,9.593419075
108,-78.38924,38.59153,6.079303265,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1071.551758,221.5891724
109,-78.38779,38.55679,28.9802227,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1019.640564,27.7917881
110,-78.39208,38.55644,28.74625778,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1092.127563,23.76677132
111,-78.39208,38.55667,32.27550888,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1075.532227,19.37687302
112,-78.39211,38.55648,28.74625778,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1092.127563,23.76677132
113,-78.39768,38.55667,22.45387077,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1073.661011,343.619751
114,-78.39768,38.55641,25.63107681,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1089.159546,334.5343933
115,-78.39967,38.55612,22.15011978,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1066.799561,349.1100769
116,-78.39959,38.55577,18.49738884,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1091.110718,338.8935852
117,-78.37938,38.59806,29.06534004,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1031.258301,312.3921814
118,-78.37928,38.59763,22.03557587,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1043.370972,291.0995483
119,-78.37782,38.5992,28.92714119,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1013.561279,340.2666016
120,-78.37716,38.59908,19.17524338,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1039.728394,328.5818176
121,-78.37471,38.60097,24.31835938,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,992.7902832,352.9149475
122,-78.37451,38.60071,20.99075317,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1017.572021,345.7407227
123,-78.36663,38.60335,24.51676178,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1048.914185,58.05948639
124,-78.36684,38.6032,24.32224655,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1057.369019,74.66542053
125,-78.39711,38.59953,13.36766148,29.08699989,29.21500015,28.36000061,28.75799942,26.64800072,31.68700027,31.12899971,31.0529995,28.59799957,27.92000008,28.50099945,29.63100052,812.9884033,271.058075
126,-78.38786,38.57219,26.46161079,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,897.4592285,327.7985535
127,-78.38087,38.56287,25.06311989,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1099.906006,291.5926819
128,-78.37235637,38.5344946,21.79046249,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,826.6428223,81.4453125
129,-78.37976,38.58823,26.5294342,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1096.219727,191.8455353
130,-78.38103,38.59973,21.75016403,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,963.8811035,23.99836922
131,-78.37705,38.58554,23.11787224,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1063.318604,212.5466614
