"","Latitude","Longitude","year","direction","T_final"
"357",38.55445,-78.40313,"year_2013","NW",22.54319052848
"358",38.55445,-78.40313,"year_2014","NW",21.76718954848
"359",38.55445,-78.40313,"year_2015","NW",22.51018957848
"360",38.55445,-78.40313,"year_2016","NW",23.56918959848
"361",38.55486,-78.39347,"year_2005","SE",20.667965675
"362",38.55486,-78.39347,"year_2006","SE",20.575964715
"363",38.55486,-78.39347,"year_2007.","SE",19.519964955
"364",38.55486,-78.39347,"year_2008","SE",19.965966015
"365",38.55486,-78.39347,"year_2009","SE",17.825964715
"366",38.55486,-78.39347,"year_2010","SE",22.724964885
"367",38.55486,-78.39347,"year_2011","SE",22.281965995
"368",38.55486,-78.39347,"year_2012","SE",22.128964215
"369",38.55486,-78.39347,"year_2013","SE",19.931965615
"370",38.55486,-78.39347,"year_2014","SE",19.204964425
"371",38.55486,-78.39347,"year_2015","SE",19.884964725
"372",38.55486,-78.39347,"year_2016","SE",21.125965855
"373",38.55517,-78.38853,"year_2005","NE",21.162382839
"374",38.55517,-78.38853,"year_2006","NE",21.070381879
"375",38.55517,-78.38853,"year_2007.","NE",20.014382119
"376",38.55517,-78.38853,"year_2008","NE",20.460383179
"377",38.55517,-78.38853,"year_2009","NE",18.320381879
"378",38.55517,-78.38853,"year_2010","NE",23.219382049
"379",38.55517,-78.38853,"year_2011","NE",22.776383159
"380",38.55517,-78.38853,"year_2012","NE",22.623381379
"381",38.55517,-78.38853,"year_2013","NE",20.426382779
"382",38.55517,-78.38853,"year_2014","NE",19.699381589
"383",38.55517,-78.38853,"year_2015","NE",20.379381889
"384",38.55517,-78.38853,"year_2016","NE",21.620383019
"385",38.55548,-78.40361,"year_2005","NE",21.196495329
"386",38.55548,-78.40361,"year_2006","NE",21.129493979
"387",38.55548,-78.40361,"year_2007.","NE",20.067495619
"388",38.55548,-78.40361,"year_2008","NE",20.588495519
"389",38.55548,-78.40361,"year_2009","NE",18.491495399
"390",38.55548,-78.40361,"year_2010","NE",23.445493969
"391",38.55548,-78.40361,"year_2011","NE",23.042494089
"392",38.55548,-78.40361,"year_2012","NE",22.880495339
"393",38.55548,-78.40361,"year_2013","NE",20.640495569
"394",38.55548,-78.40361,"year_2014","NE",19.864494589
"395",38.55548,-78.40361,"year_2015","NE",20.607494619
"396",38.55548,-78.40361,"year_2016","NE",21.666494639
"397",38.55577,-78.39959,"year_2005","NW",23.23137257088
"398",38.55577,-78.39959,"year_2006","NW",23.16437122088
"399",38.55577,-78.39959,"year_2007.","NW",22.10237286088
"400",38.55577,-78.39959,"year_2008","NW",22.62337276088
"401",38.55577,-78.39959,"year_2009","NW",20.52637264088
"402",38.55577,-78.39959,"year_2010","NW",25.48037121088
"403",38.55577,-78.39959,"year_2011","NW",25.07737133088
"404",38.55577,-78.39959,"year_2012","NW",24.91537258088
"405",38.55577,-78.39959,"year_2013","NW",22.67537281088
"406",38.55577,-78.39959,"year_2014","NW",21.89937183088
"407",38.55577,-78.39959,"year_2015","NW",22.64237186088
"408",38.55577,-78.39959,"year_2016","NW",23.70137188088
"409",38.55605,-78.3897,"year_2005","NE",21.1378135956
"410",38.55605,-78.3897,"year_2006","NE",21.0458126356
"411",38.55605,-78.3897,"year_2007.","NE",19.9898128756
"412",38.55605,-78.3897,"year_2008","NE",20.4358139356
"413",38.55605,-78.3897,"year_2009","NE",18.2958126356
"414",38.55605,-78.3897,"year_2010","NE",23.1948128056
"415",38.55605,-78.3897,"year_2011","NE",22.7518139156
"416",38.55605,-78.3897,"year_2012","NE",22.5988121356
"417",38.55605,-78.3897,"year_2013","NE",20.4018135356
"418",38.55605,-78.3897,"year_2014","NE",19.6748123456
"419",38.55605,-78.3897,"year_2015","NE",20.3548126456
"420",38.55605,-78.3897,"year_2016","NE",21.5958137756
"421",38.55612,-78.39967,"year_2005","NW",23.42197204176
"422",38.55612,-78.39967,"year_2006","NW",23.35497069176
"423",38.55612,-78.39967,"year_2007.","NW",22.29297233176
"424",38.55612,-78.39967,"year_2008","NW",22.81397223176
"425",38.55612,-78.39967,"year_2009","NW",20.71697211176
"426",38.55612,-78.39967,"year_2010","NW",25.67097068176
"427",38.55612,-78.39967,"year_2011","NW",25.26797080176
"428",38.55612,-78.39967,"year_2012","NW",25.10597205176
"429",38.55612,-78.39967,"year_2013","NW",22.86597228176
"430",38.55612,-78.39967,"year_2014","NW",22.08997130176
"431",38.55612,-78.39967,"year_2015","NW",22.83297133176
"432",38.55612,-78.39967,"year_2016","NW",23.89197135176
"433",38.55641,-78.39768,"year_2005","NW",23.24666975936
"434",38.55641,-78.39768,"year_2006","NW",23.17966840936
"435",38.55641,-78.39768,"year_2007.","NW",22.11767004936
"436",38.55641,-78.39768,"year_2008","NW",22.63866994936
"437",38.55641,-78.39768,"year_2009","NW",20.54166982936
"438",38.55641,-78.39768,"year_2010","NW",25.49566839936
"439",38.55641,-78.39768,"year_2011","NW",25.09266851936
"440",38.55641,-78.39768,"year_2012","NW",24.93066976936
"441",38.55641,-78.39768,"year_2013","NW",22.69066999936
"442",38.55641,-78.39768,"year_2014","NW",21.91466901936
"443",38.55641,-78.39768,"year_2015","NW",22.65766904936
"444",38.55641,-78.39768,"year_2016","NW",23.71666906936
"445",38.55644,-78.39208,"year_2005","NE",20.8702056186
"446",38.55644,-78.39208,"year_2006","NE",20.7782046586
"447",38.55644,-78.39208,"year_2007.","NE",19.7222048986
"448",38.55644,-78.39208,"year_2008","NE",20.1682059586
"449",38.55644,-78.39208,"year_2009","NE",18.0282046586
"450",38.55644,-78.39208,"year_2010","NE",22.9272048286
"451",38.55644,-78.39208,"year_2011","NE",22.4842059386
"452",38.55644,-78.39208,"year_2012","NE",22.3312041586
"453",38.55644,-78.39208,"year_2013","NE",20.1342055586
"454",38.55644,-78.39208,"year_2014","NE",19.4072043686
"455",38.55644,-78.39208,"year_2015","NE",20.0872046686
"456",38.55644,-78.39208,"year_2016","NE",21.3282057986
"457",38.55648,-78.39211,"year_2005","NE",20.8702056186
"458",38.55648,-78.39211,"year_2006","NE",20.7782046586
