"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"114",7,2.42097394880405e-05,1.16713233619098e-18,0.999999999818704,1,0.998640055306155,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"115",8,2.43599019126107e-05,7.20460972253631e-19,0.99999999989158,1,0.999125878936712,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"116",9,1.7089514390809e-05,3.33858136813452e-19,0.999999999914972,1,0.999087114883035,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"117",10,1.70854053573068e-05,2.46622404918048e-19,0.999999999935677,1,0.999239658206218,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"118",2,0.00117283641137593,8.57368547320635e-16,0.999999999917986,1,0.999773979237015,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"119",3,0.000493739437239791,2.40948906406396e-16,0.999999999650555,1,0.99930337106303,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"120",4,0.00153997756887681,4.49227894700438e-16,0.999999999891746,1,0.999816331303536,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"121",5,0.000571612128466206,1.2797781058581e-16,0.999999999843887,1,0.999673507421169,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"122",6,0.00113992050803766,1.66085053254455e-16,0.999999999940844,1,0.999873766881752,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"123",7,0.000373037830583243,5.28723036557454e-17,0.999999999912248,1,0.999729599619302,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"124",8,0.00110991678012208,6.74616746365704e-17,0.99999999997032,1,0.999917188019426,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"125",9,0.000290140932641787,1.85779611018275e-17,0.999999999951408,1,0.99979486838063,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"126",10,0.000749629741230896,2.67408510107116e-17,0.999999999982885,1,0.999927381239895,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"127",2,0.0119656754736638,6.40619006477867e-15,0.999999999991416,1,0.999974130066831,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"128",3,0.0376335028791876,9.56747952983596e-15,0.99999999999879,1,0.999995370734351,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"129",4,0.0572212900856242,6.24211117276193e-15,0.999999999999397,1,0.9999978928611,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"130",5,0.0447598447263328,4.64166534361645e-15,0.999999999999655,1,0.999998481212037,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"131",6,0.0619108111864819,2.73994226850492e-15,0.999999999999794,1,0.999999117545957,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"132",7,0.0287841124659136,1.62064847341373e-15,0.999999999999834,1,0.999998904396798,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"133",8,0.0672931849901027,1.35939272137801e-15,0.999999999999906,1,0.999999451205469,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"134",9,0.0333491629849332,7.02675187142688e-16,0.999999999999931,1,0.999999414900924,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"135",10,0.0404089404002212,4.59636212460084e-16,0.999999999999952,1,0.999999572252347,15,0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,0.42578125
"136",2,0.000185721032024427,4.96488658916345e-17,0.999999999725539,1,0.99869264776398,16,0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,0.92578125
