"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"108",10,0.000197350789640015,2.54982113212621e-18,0.999999999995444,1,0.999951540324247,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"109",2,3.31731330511103e-05,1.7783982602752e-17,0.999999997230941,1,0.990386414332198,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"110",3,3.95759252243908e-05,9.14599710645806e-18,0.999999999071714,1,0.99479400291253,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"111",4,3.86706659449703e-05,5.61481034339966e-18,0.999999999640048,1,0.997683200918905,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"112",5,2.48909982052049e-05,2.93546432534497e-18,0.999999999716983,1,0.997921983402671,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"113",6,2.36569413151952e-05,1.44752746064498e-18,0.999999999843204,1,0.998626213577877,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"114",7,1.62965495175485e-05,7.27066112973495e-19,0.999999999859448,1,0.99837666936154,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"115",8,1.83641341955432e-05,6.40153695777673e-19,0.999999999914222,1,0.999062545888103,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"116",9,1.22195246447725e-05,2.97221630647033e-19,0.999999999925825,1,0.998834650932632,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"117",10,1.17865346407327e-05,1.49349469606962e-19,0.999999999954547,1,0.999178726250997,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"118",2,0.00206069902077936,7.49331155920313e-16,0.999999999942525,1,0.999814076079055,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"119",3,0.000520278836673205,1.51204780761577e-16,0.999999999740897,1,0.999070386460488,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
"120",4,0.00191304861121881,3.66268470142643e-16,0.99999999993723,1,0.99982890486356,14,0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,0.67578125
